source,query,allergen,confidence,ground_truth,ground_truth_source
bbc,chicken curry,milk,HIGH,1,silver_truth_CIRCULAR
bbc,chicken curry,mustard,HIGH,1,silver_truth_CIRCULAR
bbc,chicken curry,soya,MEDIUM,0,silver_truth_CIRCULAR
bbcgoodfood,chicken curry,fish,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chicken curry,gluten,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chicken curry,soya,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,chicken curry,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,chicken curry,nuts,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,milk,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,eggs,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,mustard,HIGH,1,silver_truth_CIRCULAR
ocado,chicken curry,soya,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chicken curry,nuts,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chicken curry,sesame,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,celery,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,gluten,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,sulphites,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,molluscs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,sesame,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,soya,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chicken curry,sulphites,MEDIUM,1,silver_truth_CIRCULAR
bbc,vegetarian pasta,celery,HIGH,1,silver_truth_CIRCULAR
bbc,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
bbc,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
bbc,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
bbc,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,vegetarian pasta,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,vegetarian pasta,sulphites,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
ocado,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
ocado,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,vegetarian pasta,crustaceans,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,vegetarian pasta,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,vegetarian pasta,milk,HIGH,1,silver_truth_CIRCULAR
bbc,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
bbc,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
bbc,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
bbc,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
ocado,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,nuts,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
ocado,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,fish,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,nuts,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,chocolate cake,sulphites,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,gluten,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,chocolate cake,milk,HIGH,1,silver_truth_CIRCULAR
bbc,beef stew,celery,HIGH,1,silver_truth_CIRCULAR
bbc,beef stew,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,beef stew,celery,HIGH,1,silver_truth_CIRCULAR
bbc,beef stew,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,beef stew,fish,MEDIUM,1,silver_truth_CIRCULAR
bbc,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
bbc,beef stew,sulphites,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,celery,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,fish,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,celery,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,fish,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,beef stew,gluten,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,beef stew,eggs,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,beef stew,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
ocado,beef stew,sesame,HIGH,1,silver_truth_CIRCULAR
ocado,beef stew,gluten,MEDIUM,0,silver_truth_CIRCULAR
ocado,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,beef stew,eggs,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,beef stew,mustard,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,beef stew,sulphites,HIGH,1,silver_truth_CIRCULAR
tomkerridge,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,beef stew,mustard,HIGH,1,silver_truth_CIRCULAR
tomkerridge,beef stew,sulphites,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,beef stew,celery,HIGH,1,silver_truth_CIRCULAR
tomkerridge,beef stew,milk,HIGH,1,silver_truth_CIRCULAR
bbc,mushroom soup,gluten,HIGH,1,silver_truth_CIRCULAR
bbc,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
bbc,mushroom soup,molluscs,HIGH,1,silver_truth_CIRCULAR
bbc,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
bbc,mushroom soup,sulphites,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,mushroom soup,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,mushroom soup,nuts,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,mushroom soup,nuts,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,mushroom soup,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,mushroom soup,fish,HIGH,1,silver_truth_CIRCULAR
ocado,mushroom soup,celery,HIGH,1,silver_truth_CIRCULAR
ocado,mushroom soup,gluten,MEDIUM,1,silver_truth_CIRCULAR
ocado,mushroom soup,eggs,HIGH,1,silver_truth_CIRCULAR
ocado,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
ocado,mushroom soup,nuts,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,mushroom soup,gluten,MEDIUM,0,silver_truth_CIRCULAR
realfooddietitians,mushroom soup,celery,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,mushroom soup,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,molluscs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,sesame,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,soya,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,sulphites,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,mushroom soup,soya,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,fish,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,gluten,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,eggs,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,fish,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,milk,HIGH,1,silver_truth_CIRCULAR
bbc,salmon,sulphites,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,fish,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,gluten,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,fish,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,sesame,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,salmon,soya,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,salmon,gluten,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,salmon,eggs,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,salmon,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,salmon,milk,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,fish,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,gluten,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,fish,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,milk,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,sesame,HIGH,1,silver_truth_CIRCULAR
ocado,salmon,soya,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,salmon,fish,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,salmon,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,salmon,fish,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,salmon,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,fish,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,fish,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,salmon,nuts,HIGH,1,silver_truth_CIRCULAR
bbc,lentil dal,milk,HIGH,1,silver_truth_CIRCULAR
bbc,lentil dal,mustard,HIGH,1,silver_truth_CIRCULAR
bbc,lentil dal,soya,MEDIUM,0,silver_truth_CIRCULAR
bbc,lentil dal,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,lentil dal,mustard,HIGH,1,silver_truth_CIRCULAR
bbc,lentil dal,soya,MEDIUM,0,silver_truth_CIRCULAR
bbcgoodfood,lentil dal,gluten,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,lentil dal,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,lentil dal,gluten,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,lentil dal,eggs,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,lentil dal,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,lentil dal,milk,HIGH,1,silver_truth_CIRCULAR
ocado,lentil dal,mustard,HIGH,1,silver_truth_CIRCULAR
ocado,lentil dal,nuts,HIGH,1,silver_truth_CIRCULAR
tomkerridge,lentil dal,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,lentil dal,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,lentil dal,sesame,HIGH,1,silver_truth_CIRCULAR
bbc,apple pie,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,apple pie,eggs,HIGH,1,silver_truth_CIRCULAR
bbc,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
bbc,apple pie,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbc,apple pie,eggs,HIGH,1,silver_truth_CIRCULAR
bbc,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,apple pie,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,apple pie,eggs,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
bbcgoodfood,apple pie,gluten,MEDIUM,1,silver_truth_CIRCULAR
bbcgoodfood,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,celery,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,gluten,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,fish,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,soya,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,gluten,MEDIUM,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
foodafactoflife,apple pie,sulphites,HIGH,1,silver_truth_CIRCULAR
ocado,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
ocado,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
realfooddietitians,apple pie,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,celery,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,fish,MEDIUM,1,silver_truth_CIRCULAR
tomkerridge,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,gluten,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,eggs,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,milk,HIGH,1,silver_truth_CIRCULAR
tomkerridge,apple pie,mustard,HIGH,1,silver_truth_CIRCULAR
