run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,latency_ms,has_403,has_429,source_unavailable,fallback_external_used,fallback_mirror_used
1,1,chicken curry,main,bbc,BBC Food,ok,2,1,6530.150100000014,0,0,0,0,0
2,1,chicken curry,main,bbcgoodfood,BBC Good Food,ok,2,1,6538.871400000062,0,0,0,0,0
3,1,chicken curry,main,foodafactoflife,Food - a Fact of Life,ok,1,1,4889.0621000000465,0,0,0,0,0
4,1,chicken curry,main,ocado,Ocado,ok,2,1,6044.417599999974,0,0,0,0,0
5,1,chicken curry,main,realfooddietitians,The Real Food Dietitians,ok,2,1,9387.71810000003,0,0,0,0,0
6,1,chicken curry,main,tomkerridge,Tom Kerridge,ok,2,1,8371.47230000005,0,0,0,0,0
7,1,vegetarian pasta,main,bbc,BBC Food,ok,2,1,7766.226500000016,0,0,0,0,0
8,1,vegetarian pasta,main,bbcgoodfood,BBC Good Food,ok,2,1,5764.902900000038,0,0,0,0,0
9,1,vegetarian pasta,main,foodafactoflife,Food - a Fact of Life,ok,1,1,4717.805899999917,0,0,0,0,0
10,1,vegetarian pasta,main,ocado,Ocado,ok,2,1,7316.3931000000275,0,0,0,0,0
11,1,vegetarian pasta,main,realfooddietitians,The Real Food Dietitians,ok,2,1,6414.700799999991,0,0,0,0,0
12,1,vegetarian pasta,main,tomkerridge,Tom Kerridge,ok,2,1,8396.129300000099,0,0,0,0,0
13,1,chocolate cake,dessert,bbc,BBC Food,ok,2,1,6374.889199999984,0,0,0,0,0
14,1,chocolate cake,dessert,bbcgoodfood,BBC Good Food,ok,2,1,6996.41680000002,0,0,0,0,0
15,1,chocolate cake,dessert,foodafactoflife,Food - a Fact of Life,ok,1,1,4237.7583999999615,0,0,0,0,0
16,1,chocolate cake,dessert,ocado,Ocado,ok,2,1,7291.127899999992,0,0,0,0,0
17,1,chocolate cake,dessert,realfooddietitians,The Real Food Dietitians,ok,2,1,9919.938100000081,0,0,0,0,0
18,1,chocolate cake,dessert,tomkerridge,Tom Kerridge,ok,2,1,7247.226699999942,0,0,0,0,0
19,1,beef stew,main,bbc,BBC Food,ok,2,1,7482.047599999987,0,0,0,0,0
20,1,beef stew,main,bbcgoodfood,BBC Good Food,ok,2,1,6048.841899999957,0,0,0,0,0
21,1,beef stew,main,foodafactoflife,Food - a Fact of Life,ok,2,1,7750.771200000031,0,0,0,0,0
22,1,beef stew,main,ocado,Ocado,ok,2,1,7114.86130000003,0,0,0,0,0
23,1,beef stew,main,realfooddietitians,The Real Food Dietitians,ok,2,1,7195.773799999984,0,0,0,0,0
24,1,beef stew,main,tomkerridge,Tom Kerridge,ok,2,1,8078.350500000056,0,0,0,0,0
25,1,mushroom soup,main,bbc,BBC Food,ok,2,1,7102.288699999917,0,0,0,0,0
26,1,mushroom soup,main,bbcgoodfood,BBC Good Food,ok,2,1,6566.789800000038,0,0,0,0,0
27,1,mushroom soup,main,foodafactoflife,Food - a Fact of Life,ok,1,1,5320.533399999931,0,0,0,0,0
28,1,mushroom soup,main,ocado,Ocado,ok,2,1,7182.0551000000705,0,0,0,0,0
29,1,mushroom soup,main,realfooddietitians,The Real Food Dietitians,ok,2,1,9107.139599999982,0,0,0,0,0
30,1,mushroom soup,main,tomkerridge,Tom Kerridge,ok,2,1,8621.35079999996,0,0,0,0,0
31,1,salmon,main,bbc,BBC Food,ok,2,1,6734.17429999995,0,0,0,0,0
32,1,salmon,main,bbcgoodfood,BBC Good Food,ok,2,1,6436.318100000108,0,0,0,0,0
33,1,salmon,main,foodafactoflife,Food - a Fact of Life,ok,2,1,6556.599399999982,0,0,0,0,0
34,1,salmon,main,ocado,Ocado,ok,2,1,6846.542600000021,0,0,0,0,0
35,1,salmon,main,realfooddietitians,The Real Food Dietitians,ok,2,1,6264.072399999918,0,0,0,0,0
36,1,salmon,main,tomkerridge,Tom Kerridge,ok,2,1,8151.118999999994,0,0,0,0,0
37,1,lentil dal,main,bbc,BBC Food,ok,2,1,6441.2152999999535,0,0,0,0,0
38,1,lentil dal,main,bbcgoodfood,BBC Good Food,ok,2,1,6001.306200000045,0,0,0,0,0
39,1,lentil dal,main,foodafactoflife,Food - a Fact of Life,ok,2,1,6885.709700000007,0,0,0,0,0
40,1,lentil dal,main,ocado,Ocado,ok,2,1,6866.267999999991,0,0,0,0,0
41,1,lentil dal,main,realfooddietitians,The Real Food Dietitians,ok,2,1,10107.910100000026,0,0,0,0,0
42,1,lentil dal,main,tomkerridge,Tom Kerridge,ok,1,1,6156.076600000006,0,0,0,0,0
43,1,apple pie,dessert,bbc,BBC Food,ok,2,1,7016.742100000101,0,0,0,0,0
44,1,apple pie,dessert,bbcgoodfood,BBC Good Food,ok,2,1,6251.690899999971,0,0,0,0,0
45,1,apple pie,dessert,foodafactoflife,Food - a Fact of Life,ok,2,1,7746.592999999962,0,0,0,0,0
46,1,apple pie,dessert,ocado,Ocado,ok,2,1,6195.545100000004,0,0,0,0,0
47,1,apple pie,dessert,realfooddietitians,The Real Food Dietitians,ok,2,1,6853.576500000031,0,0,0,0,0
48,1,apple pie,dessert,tomkerridge,Tom Kerridge,ok,2,1,7901.149799999985,0,0,0,0,0
