source,query,recipe_url,raw_has_artifact,cleaned_has_artifact
simply,chicken curry,https://www.simplyrecipes.com/korean-curry-rice-recipe-11727095,0,0
simply,chicken curry,https://www.simplyrecipes.com/guyanese-chicken-curry-recipe-5235736,0,0
serious,chicken curry,https://www.seriouseats.com/grilled-curry-chicken-kebab-recipe,1,0
serious,chicken curry,https://www.seriouseats.com/cashew-chicken-curry-with-cilantro-recipe,1,0
simply,vegetarian pasta,https://www.simplyrecipes.com/recipes/greek_pasta_salad/,1,0
simply,vegetarian pasta,https://www.simplyrecipes.com/easy-pasta-with-winter-greens-recipe-5207178,0,0
serious,chocolate cake,https://www.seriouseats.com/german-chocolate-cake-recipe-11916175,1,0
serious,chocolate cake,https://www.seriouseats.com/molten-chocolate-cake-for-two-dessert-recipe,1,0
simply,beef stew,https://www.simplyrecipes.com/recipes/irish_beef_stew/,0,0
simply,beef stew,https://www.simplyrecipes.com/beef-stew-upgrade-v8-juice-11868691,1,0
serious,beef stew,https://www.seriouseats.com/all-american-beef-stew-recipe,1,0
serious,beef stew,https://www.seriouseats.com/pressure-cooker-beef-stew-recipe,1,0
serious,mushroom soup,https://www.seriouseats.com/easy-creamy-mushroom-soup-quick,0,0
