run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,1,1,0,2509.306900028605,0,0,0,[200]
2,1,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3690.6291999912355,0,1,1,[403]
3,1,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3600.094000023091,0,1,1,[403]
4,1,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2908.0901999841444,0,0,0,[200]
5,1,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3833.94050001516,0,1,1,[403]
6,1,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3085.4214999999385,0,1,1,[403]
7,1,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1914.7492999909446,0,0,0,[200]
8,1,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3186.1731999961194,0,1,1,[403]
9,1,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3510.3866000135895,0,1,1,[403]
10,1,beef stew,main,bbc,BBC Food,ok,1,1,0,1638.092700013658,0,0,0,[200]
11,1,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3747.1543999854475,0,1,1,[403]
12,1,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3640.739099995699,0,1,1,[403]
13,1,mushroom soup,main,bbc,BBC Food,ok,1,1,0,2216.462299984414,0,0,0,[200]
14,1,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3796.0431999817956,0,1,1,[403]
15,1,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3013.262099993881,0,1,1,[403]
16,1,salmon,main,bbc,BBC Food,ok,1,1,0,2904.869999998482,0,0,0,[200]
17,1,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3323.9109000132885,0,1,1,[403]
18,1,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3316.5699999954086,0,1,1,[403]
19,1,lentil dal,main,bbc,BBC Food,ok,1,1,0,2703.349099989282,0,0,0,[200]
20,1,lentil dal,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3131.020000000717,0,1,1,[403]
21,1,lentil dal,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3090.5223000154365,0,1,1,[403]
22,1,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2965.4936000006273,0,0,0,[200]
23,1,apple pie,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3773.382199986372,0,1,1,[403]
24,1,apple pie,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3835.001100000227,0,1,1,[403]
25,1,lasagne,main,bbc,BBC Food,ok,1,1,0,3250.0669000146445,0,0,0,[200]
26,1,lasagne,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5268.912400002591,0,1,1,[403]
27,1,lasagne,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5424.246599985054,0,1,1,[403]
28,1,thai curry,main,bbc,BBC Food,ok,1,1,0,2932.4641000130214,0,0,0,[200]
29,1,thai curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3910.778699995717,0,1,1,[403]
30,1,thai curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3605.806399980793,0,1,1,[403]
31,1,brownies,dessert,bbc,BBC Food,ok,1,1,0,2244.386799982749,0,0,0,[200]
32,1,brownies,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3222.4846000026446,0,1,1,[403]
33,1,brownies,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3268.1276999937836,0,1,1,[403]
34,1,risotto,main,bbc,BBC Food,ok,1,1,0,1838.8436999812257,0,0,0,[200]
35,1,risotto,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3102.6674000022467,0,1,1,[403]
36,1,risotto,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3281.0253000061493,0,1,1,[403]
37,1,vegan burger,main,bbc,BBC Food,ok,1,1,0,2399.7771000140347,0,0,0,[200]
38,1,vegan burger,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3360.740700009046,0,1,1,[403]
39,1,vegan burger,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3227.7073000150267,0,1,1,[403]
40,1,banana bread,dessert,bbc,BBC Food,ok,1,1,0,2736.8853999942075,0,0,0,[200]
41,1,banana bread,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3683.112800004892,0,1,1,[403]
42,1,banana bread,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3683.3082999801263,0,1,1,[403]
43,1,roast chicken,main,bbc,BBC Food,ok,1,1,0,2372.2274000174366,0,0,0,[200]
44,1,roast chicken,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3282.6896000187844,0,1,1,[403]
45,1,roast chicken,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3395.2532000257634,0,1,1,[403]
46,1,tacos,main,bbc,BBC Food,ok,1,1,0,3110.909899987746,0,0,0,[200]
47,1,tacos,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3896.2205999996513,0,1,1,[403]
48,1,tacos,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3656.2485999893397,0,1,1,[403]
49,1,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,3143.660899979295,0,0,0,[200]
50,1,pancakes,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3303.303299995605,0,1,1,[403]
51,1,pancakes,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3108.855800004676,0,1,1,[403]
52,1,omelette,breakfast,bbc,BBC Food,ok,1,1,0,2056.816099997377,0,0,0,[200]
53,1,omelette,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3194.2118000006303,0,1,1,[403]
54,1,omelette,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,4952.736000006553,0,1,1,[403]
55,1,ramen,main,bbc,BBC Food,ok,1,1,0,2689.0658999909647,0,0,0,[200]
56,1,ramen,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3639.454999996815,0,1,1,[403]
57,1,ramen,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3379.7500999935437,0,1,1,[403]
58,1,stir fry,main,bbc,BBC Food,ok,1,1,0,2861.5713999897707,0,0,0,[200]
59,1,stir fry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3524.4770999997854,0,1,1,[403]
60,1,stir fry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3347.4441000143997,0,1,1,[403]
61,2,chicken curry,main,bbc,BBC Food,ok,1,1,0,2192.001799994614,0,0,0,[200]
62,2,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3561.74460001057,0,1,1,[403]
63,2,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3931.545300001744,0,1,1,[403]
64,2,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,1998.1098000134807,0,0,0,[200]
65,2,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4025.756100018043,0,1,1,[403]
66,2,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3503.0837999947835,0,1,1,[403]
67,2,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1489.4510000012815,0,0,0,[200]
68,2,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3236.4648999937344,0,1,1,[403]
69,2,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3679.560400021728,0,1,1,[403]
70,2,beef stew,main,bbc,BBC Food,ok,1,1,0,2586.9203000038397,0,0,0,[200]
71,2,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3300.141799991252,0,1,1,[403]
72,2,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3536.751400009962,0,1,1,[403]
73,2,mushroom soup,main,bbc,BBC Food,ok,1,1,0,3055.7159000018146,0,0,0,[200]
74,2,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4080.277600005502,0,1,1,[403]
75,2,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3842.5389000040013,0,1,1,[403]
76,2,salmon,main,bbc,BBC Food,ok,1,1,0,2107.7185999893118,0,0,0,[200]
77,2,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3752.3517000081483,0,1,1,[403]
78,2,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3610.0192999874707,0,1,1,[403]
79,2,lentil dal,main,bbc,BBC Food,ok,1,1,0,2249.5138999947812,0,0,0,[200]
80,2,lentil dal,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3151.641500007827,0,1,1,[403]
81,2,lentil dal,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3542.0052999979816,0,1,1,[403]
82,2,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2805.0648999924306,0,0,0,[200]
83,2,apple pie,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3870.815699978266,0,1,1,[403]
84,2,apple pie,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3558.1546000030357,0,1,1,[403]
85,2,lasagne,main,bbc,BBC Food,ok,1,1,0,2083.5859999933746,0,0,0,[200]
86,2,lasagne,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5942.5025999953505,0,1,1,[403]
87,2,lasagne,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5783.706600021105,0,1,1,[403]
88,2,thai curry,main,bbc,BBC Food,ok,1,1,0,2298.9426999993157,0,0,0,[200]
89,2,thai curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3689.8474999761675,0,1,1,[403]
90,2,thai curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3182.4631999770645,0,1,1,[403]
91,2,brownies,dessert,bbc,BBC Food,ok,1,1,0,2705.565599986585,0,0,0,[200]
92,2,brownies,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3831.6344000049867,0,1,1,[403]
93,2,brownies,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3679.4666000059806,0,1,1,[403]
94,2,risotto,main,bbc,BBC Food,ok,1,1,0,1739.1244000173174,0,0,0,[200]
95,2,risotto,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3067.872800020268,0,1,1,[403]
96,2,risotto,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3935.332799999742,0,1,1,[403]
97,2,vegan burger,main,bbc,BBC Food,ok,1,1,0,3100.2097000018694,0,0,0,[200]
98,2,vegan burger,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3301.1682000069413,0,1,1,[403]
99,2,vegan burger,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3143.732099997578,0,1,1,[403]
100,2,banana bread,dessert,bbc,BBC Food,ok,1,1,0,3325.2528999873903,0,0,0,[200]
101,2,banana bread,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3189.363699988462,0,1,1,[403]
102,2,banana bread,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3539.050799998222,0,1,1,[403]
103,2,roast chicken,main,bbc,BBC Food,ok,1,1,0,2228.2122999895364,0,0,0,[200]
104,2,roast chicken,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3832.650600001216,0,1,1,[403]
105,2,roast chicken,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3275.958600017475,0,1,1,[403]
106,2,tacos,main,bbc,BBC Food,ok,1,1,0,2427.25770000834,0,0,0,[200]
107,2,tacos,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3321.5684999886435,0,1,1,[403]
108,2,tacos,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3941.5328000031877,0,1,1,[403]
109,2,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,1922.641899989685,0,0,0,[200]
110,2,pancakes,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,3606.79180000443,0,1,1,[403]
111,2,pancakes,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3656.0530999850016,0,1,1,[403]
112,2,omelette,breakfast,bbc,BBC Food,ok,1,1,0,1864.0258999948855,0,0,0,[200]
113,2,omelette,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,4095.210400002543,0,1,1,[403]
114,2,omelette,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3717.715099977795,0,1,1,[403]
115,2,ramen,main,bbc,BBC Food,ok,1,1,0,2355.3679999895394,0,0,0,[200]
116,2,ramen,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3121.907900000224,0,1,1,[403]
117,2,ramen,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3253.1089000112843,0,1,1,[403]
118,2,stir fry,main,bbc,BBC Food,ok,1,1,0,2336.237899988191,0,0,0,[200]
119,2,stir fry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3256.8301999999676,0,1,1,[403]
120,2,stir fry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3660.925000003772,0,1,1,[403]
121,3,chicken curry,main,bbc,BBC Food,ok,1,1,0,2196.4627999986988,0,0,0,[200]
122,3,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3636.562600004254,0,1,1,[403]
123,3,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4173.30920000677,0,1,1,[403]
124,3,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2393.7677000067197,0,0,0,[200]
125,3,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3609.6780999796465,0,1,1,[403]
126,3,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3709.4948000158183,0,1,1,[403]
127,3,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1862.9610999778379,0,0,0,[200]
128,3,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,5738.677399989683,0,1,1,[403]
129,3,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3574.996600014856,0,1,1,[403]
130,3,beef stew,main,bbc,BBC Food,ok,1,1,0,2797.100199997658,0,0,0,[200]
131,3,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4263.474800012773,0,1,1,[403]
132,3,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3283.0433000053745,0,1,1,[403]
133,3,mushroom soup,main,bbc,BBC Food,ok,1,1,0,2161.990300024627,0,0,0,[200]
134,3,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3980.093099991791,0,1,1,[403]
135,3,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3490.571100002853,0,1,1,[403]
136,3,salmon,main,bbc,BBC Food,ok,1,1,0,3029.979499988258,0,0,0,[200]
