run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,1,1,0,2628.4237999934703,0,0,0,[200]
2,1,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2189.7415999847,0,0,0,[200]
3,1,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,2912.679799977923,0,0,0,[200]
4,1,beef stew,main,bbc,BBC Food,ok,1,1,0,2534.2433999758214,0,0,0,[200]
5,1,mushroom soup,main,bbc,BBC Food,ok,1,1,0,1839.339400001336,0,0,0,[200]
6,1,salmon,main,bbc,BBC Food,ok,1,1,0,2127.9729999951087,0,0,0,[200]
7,1,lentil dal,main,bbc,BBC Food,ok,1,1,0,1693.4157999930903,0,0,0,[200]
8,1,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2637.457300006645,0,0,0,[200]
9,1,lasagne,main,bbc,BBC Food,ok,1,1,0,2274.605499987956,0,0,0,[200]
10,1,thai curry,main,bbc,BBC Food,ok,1,1,0,2267.1114000258967,0,0,0,[200]
11,1,brownies,dessert,bbc,BBC Food,ok,1,1,0,2959.2042000149377,0,0,0,[200]
12,1,risotto,main,bbc,BBC Food,ok,1,1,0,1889.6704999788199,0,0,0,[200]
13,1,vegan burger,main,bbc,BBC Food,ok,1,1,0,2667.5335000036284,0,0,0,[200]
14,1,banana bread,dessert,bbc,BBC Food,ok,1,1,0,1554.393099999288,0,0,0,[200]
15,1,roast chicken,main,bbc,BBC Food,ok,1,1,0,2923.3892999764066,0,0,0,[200]
16,1,tacos,main,bbc,BBC Food,ok,1,1,0,3016.8081000156235,0,0,0,[200]
17,1,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,3114.146300009452,0,0,0,[200]
18,1,omelette,breakfast,bbc,BBC Food,ok,1,1,0,2397.597200004384,0,0,0,[200]
19,1,ramen,main,bbc,BBC Food,ok,1,1,0,2871.220999979414,0,0,0,[200]
20,1,stir fry,main,bbc,BBC Food,ok,1,1,0,2945.1486000034492,0,0,0,[200]
21,2,chicken curry,main,bbc,BBC Food,ok,1,1,0,2136.307700013276,0,0,0,[200]
22,2,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,1919.3822999950498,0,0,0,[200]
23,2,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1735.9675000188872,0,0,0,[200]
24,2,beef stew,main,bbc,BBC Food,ok,1,1,0,1763.2995000167284,0,0,0,[200]
25,2,mushroom soup,main,bbc,BBC Food,ok,1,1,0,2344.496400008211,0,0,0,[200]
26,2,salmon,main,bbc,BBC Food,ok,1,1,0,1985.2422999974806,0,0,0,[200]
27,2,lentil dal,main,bbc,BBC Food,ok,1,1,0,2581.56200000667,0,0,0,[200]
28,2,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2614.2831000033766,0,0,0,[200]
29,2,lasagne,main,bbc,BBC Food,ok,1,1,0,2329.146700009005,0,0,0,[200]
30,2,thai curry,main,bbc,BBC Food,ok,1,1,0,2215.4485000064597,0,0,0,[200]
31,2,brownies,dessert,bbc,BBC Food,ok,1,1,0,3068.510899989633,0,0,0,[200]
32,2,risotto,main,bbc,BBC Food,ok,1,1,0,2761.7541999788955,0,0,0,[200]
33,2,vegan burger,main,bbc,BBC Food,ok,1,1,0,2955.3271000040695,0,0,0,[200]
34,2,banana bread,dessert,bbc,BBC Food,ok,1,1,0,1754.2183000186924,0,0,0,[200]
35,2,roast chicken,main,bbc,BBC Food,ok,1,1,0,1968.6883999966085,0,0,0,[200]
36,2,tacos,main,bbc,BBC Food,ok,1,1,0,2550.4592999932356,0,0,0,[200]
37,2,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,2607.5353999913204,0,0,0,[200]
38,2,omelette,breakfast,bbc,BBC Food,ok,1,1,0,2436.912900011521,0,0,0,[200]
39,2,ramen,main,bbc,BBC Food,ok,1,1,0,2768.262900004629,0,0,0,[200]
40,2,stir fry,main,bbc,BBC Food,ok,1,1,0,1981.3899000000674,0,0,0,[200]
41,3,chicken curry,main,bbc,BBC Food,ok,1,1,0,2234.842000005301,0,0,0,[200]
42,3,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2889.7192000003997,0,0,0,[200]
