allergen,tp,tn,fp,fn,precision,recall,f1,accuracy,false_negative_rate,false_positive_rate
celery,11,80,0,0,1.0,1.0,1.0,1.0,0.0,0.0
gluten,51,35,5,0,0.9107142857142857,1.0,0.9532710280373832,0.945054945054945,0.0,0.125
crustaceans,1,90,0,0,1.0,1.0,1.0,1.0,0.0,0.0
eggs,28,63,0,0,1.0,1.0,1.0,1.0,0.0,0.0
fish,18,73,0,0,1.0,1.0,1.0,1.0,0.0,0.0
lupin,0,91,0,0,,,,1.0,,0.0
milk,56,34,1,0,0.9824561403508771,1.0,0.9911504424778761,0.989010989010989,0.0,0.02857142857142857
molluscs,3,88,0,0,1.0,1.0,1.0,1.0,0.0,0.0
mustard,8,83,0,0,1.0,1.0,1.0,1.0,0.0,0.0
nuts,9,82,0,0,1.0,1.0,1.0,1.0,0.0,0.0
peanuts,0,91,0,0,,,,1.0,,0.0
sesame,7,84,0,0,1.0,1.0,1.0,1.0,0.0,0.0
soya,8,80,3,0,0.7272727272727273,1.0,0.8421052631578948,0.967032967032967,0.0,0.03614457831325301
sulphites,8,72,11,0,0.42105263157894735,1.0,0.5925925925925926,0.8791208791208791,0.0,0.13253012048192772
