run_idx,repeat,query,query_category,source,source_name,recipe_title,recipe_url,extraction_method,ingredient_count,instruction_count,completeness_score,formatting_artifact,predicted_allergens_medium_plus,silver_truth_allergens
1,1,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,46,19,1.0,0,"[""milk"", ""mustard"", ""soya""]","[""milk"", ""mustard""]"
1,1,chicken curry,main,bbc,BBC Food,Chicken and coconut curry,https://www.bbc.co.uk/food/recipes/chicken_and_coconut_85358,Schema.org JSON-LD,17,8,1.0,0,[],[]
2,1,chicken curry,main,bbcgoodfood,BBC Good Food,Thai green chicken curry,https://www.bbcgoodfood.com/recipes/thai-green-chicken-curry,Schema.org JSON-LD,12,9,1.0,0,"[""fish""]","[""fish""]"
2,1,chicken curry,main,bbcgoodfood,BBC Good Food,Chinese chicken curry,https://www.bbcgoodfood.com/recipes/chinese-chicken-curry,Schema.org JSON-LD,13,3,1.0,0,"[""gluten"", ""soya""]","[""gluten"", ""soya""]"
3,1,chicken curry,main,foodafactoflife,Food - a Fact of Life,Chicken tagine with apricots,https://www.foodafactoflife.org.uk/recipes/cook-club/chicken-tagine-with-apricots/,Sectioned HTML parsing,18,14,1.0,0,"[""gluten"", ""nuts""]","[""gluten"", ""nuts""]"
4,1,chicken curry,main,ocado,Ocado,Chicken and Red Pepper Pittas with Tomato Yoghurt Sauce,https://www.ocado.com/recipes/chicken-and-red-pepper-pittas-with-tomato-yoghurt-sauce/216829,Schema.org JSON-LD,6,3,1.0,0,"[""gluten"", ""milk""]","[""milk""]"
4,1,chicken curry,main,ocado,Ocado,Baked Southern- style Chicken with Sweet Potatoes and Slaw,https://www.ocado.com/recipes/baked-southern-style-chicken-with-sweet-potatoes-and-slaw/4RPIzlrKRw8EevMt96AOwR,Schema.org JSON-LD,15,6,1.0,0,"[""eggs"", ""gluten"", ""mustard"", ""soya""]","[""eggs"", ""gluten"", ""mustard"", ""soya""]"
5,1,chicken curry,main,realfooddietitians,The Real Food Dietitians,Instant Pot Shredded Chicken Recipe,https://therealfooddietitians.com/instant-pot-shredded-chicken/,Schema.org JSON-LD,4,10,1.0,0,[],[]
5,1,chicken curry,main,realfooddietitians,The Real Food Dietitians,One-Pan Teriyaki Chicken Veggie Bake,https://therealfooddietitians.com/one-pan-teriyaki-chicken-veggie-bake/,Schema.org JSON-LD,19,8,1.0,0,"[""nuts"", ""sesame""]","[""nuts"", ""sesame""]"
6,1,chicken curry,main,tomkerridge,Tom Kerridge,HAY-BAKED CHICKEN AND ROASTED CELERIAC,https://tomkerridge.com/recipes/hay-baked-chicken-and-roasted-celeriac/,Tom Kerridge HTML parsing,13,6,1.0,0,"[""celery"", ""gluten"", ""milk""]","[""celery"", ""gluten"", ""milk""]"
6,1,chicken curry,main,tomkerridge,Tom Kerridge,CHICKEN NOODLE SOUP,https://tomkerridge.com/recipes/chicken-noodle-soup/,Tom Kerridge HTML parsing,17,5,1.0,0,"[""eggs"", ""gluten"", ""molluscs"", ""sesame"", ""soya"", ""sulphites""]","[""eggs"", ""gluten"", ""molluscs"", ""sesame"", ""soya"", ""sulphites""]"
7,1,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,15,6,1.0,0,"[""celery"", ""gluten"", ""milk""]","[""celery"", ""gluten"", ""milk""]"
7,1,vegetarian pasta,main,bbc,BBC Food,Creamy pasta with broccoli and sweetcorn,https://www.bbc.co.uk/food/recipes/creamy_pasta_with_99280,Schema.org JSON-LD,7,3,1.0,0,"[""gluten"", ""milk""]","[""gluten"", ""milk""]"
8,1,vegetarian pasta,main,bbcgoodfood,BBC Good Food,Chicken pasta bake,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,Schema.org JSON-LD,12,3,1.0,0,"[""milk""]","[""milk""]"
8,1,vegetarian pasta,main,bbcgoodfood,BBC Good Food,Vegetarian lasagne,https://www.bbcgoodfood.com/recipes/easy-vegetable-lasagne,Schema.org JSON-LD,17,5,1.0,0,"[""gluten"", ""milk"", ""sulphites""]","[""gluten"", ""milk"", ""sulphites""]"
9,1,vegetarian pasta,main,foodafactoflife,Food - a Fact of Life,Pasta fiorentina,https://www.foodafactoflife.org.uk/recipes/cook-club/pasta-fiorentina/,Sectioned HTML parsing,11,14,1.0,0,"[""gluten"", ""milk""]","[""gluten"", ""milk""]"
10,1,vegetarian pasta,main,ocado,Ocado,Spicy Harissa Pasta,https://www.ocado.com/recipes/spicy-harissa-pasta/qCVj819ysIwQalbeBGM93,Schema.org JSON-LD,14,6,1.0,0,"[""gluten"", ""milk""]","[""gluten"", ""milk""]"
10,1,vegetarian pasta,main,ocado,Ocado,Tomato Martini Pasta  ,https://www.ocado.com/recipes/tomato-martini-pasta/UybZ7PBw14oqYLyo8zY4S,Schema.org JSON-LD,5,3,1.0,0,"[""gluten""]","[""gluten""]"
11,1,vegetarian pasta,main,realfooddietitians,The Real Food Dietitians,Greek Veggie Pasta Salad,https://therealfooddietitians.com/greek-veggie-pasta-salad/,Schema.org JSON-LD,16,3,1.0,0,"[""gluten"", ""milk""]","[""gluten"", ""milk""]"
11,1,vegetarian pasta,main,realfooddietitians,The Real Food Dietitians,Zucchini “Pasta” Carbonara with Shrimp,https://therealfooddietitians.com/zucchini-pasta-carbonara-shrimp/,Schema.org JSON-LD,10,6,1.0,0,"[""crustaceans"", ""gluten"", ""milk""]","[""crustaceans"", ""gluten"", ""milk""]"
12,1,vegetarian pasta,main,tomkerridge,Tom Kerridge,CREAMY BUTTERNUT SQUASH PASTA BAKE,https://tomkerridge.com/recipes/creamy-butternut-squash-pasta-bake/,Tom Kerridge HTML parsing,17,7,1.0,0,"[""gluten"", ""milk""]","[""gluten"", ""milk""]"
12,1,vegetarian pasta,main,tomkerridge,Tom Kerridge,SPINACH AND RICOTTA PASTA BAKE,https://tomkerridge.com/recipes/spinach-and-ricotta-pasta-bake/,Tom Kerridge HTML parsing,18,9,1.0,0,"[""gluten"", ""milk""]","[""milk""]"
13,1,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,21,14,1.0,0,"[""eggs"", ""gluten"", ""milk""]","[""eggs"", ""gluten"", ""milk""]"
13,1,chocolate cake,dessert,bbc,BBC Food,Easy chocolate cake,https://www.bbc.co.uk/food/recipes/easy_chocolate_cake_31070,Schema.org JSON-LD,12,9,1.0,0,"[""eggs"", ""gluten"", ""milk""]","[""eggs"", ""gluten"", ""milk""]"
14,1,chocolate cake,dessert,bbcgoodfood,BBC Good Food,Ultimate chocolate cake,https://www.bbcgoodfood.com/recipes/ultimate-chocolate-cake,Schema.org JSON-LD,16,13,1.0,0,"[""eggs"", ""gluten"", ""milk"", ""sulphites""]","[""eggs"", ""gluten"", ""milk""]"
14,1,chocolate cake,dessert,bbcgoodfood,BBC Good Food,Easy chocolate cake,https://www.bbcgoodfood.com/recipes/easy-chocolate-cake,Schema.org JSON-LD,16,11,1.0,0,"[""eggs"", ""gluten"", ""milk"", ""sulphites""]","[""eggs"", ""gluten"", ""milk""]"
15,1,chocolate cake,dessert,foodafactoflife,Food - a Fact of Life,Victoria sponge cake,https://www.foodafactoflife.org.uk/recipes/cook-club/victoria-sponge-cake/,Sectioned HTML parsing,7,12,1.0,0,"[""eggs"", ""gluten"", ""sulphites""]","[""eggs"", ""gluten""]"
