allergen,tp,tn,fp,fn,precision,recall,f1,accuracy,false_negative_rate,false_positive_rate
celery,11,80,0,0,1.0,1.0,1.0,1.0,0.0,0.0
gluten,53,36,2,0,0.9636363636363636,1.0,0.9814814814814815,0.978021978021978,0.0,0.05263157894736842
crustaceans,1,90,0,0,1.0,1.0,1.0,1.0,0.0,0.0
eggs,28,63,0,0,1.0,1.0,1.0,1.0,0.0,0.0
fish,18,73,0,0,1.0,1.0,1.0,1.0,0.0,0.0
lupin,0,91,0,0,,,,1.0,,0.0
milk,56,35,0,0,1.0,1.0,1.0,1.0,0.0,0.0
molluscs,3,88,0,0,1.0,1.0,1.0,1.0,0.0,0.0
mustard,8,83,0,0,1.0,1.0,1.0,1.0,0.0,0.0
nuts,9,82,0,0,1.0,1.0,1.0,1.0,0.0,0.0
peanuts,0,91,0,0,,,,1.0,,0.0
sesame,7,84,0,0,1.0,1.0,1.0,1.0,0.0,0.0
soya,8,80,3,0,0.7272727272727273,1.0,0.8421052631578948,0.967032967032967,0.0,0.03614457831325301
sulphites,11,80,0,0,1.0,1.0,1.0,1.0,0.0,0.0
