allergen,safe_filter_effectiveness,unsafe_return_rate,safe_filter_ci_low,safe_filter_ci_high,retained_recipe_count
celery,1.0,0.0,0.9541818704644728,0.9999999999999999,80
gluten,1.0,0.0,0.9035813714055363,1.0,36
crustaceans,1.0,0.0,0.9590643744356734,1.0000000000000002,90
eggs,1.0,0.0,0.9425288004111484,1.0000000000000002,63
fish,1.0,0.0,0.9500079920442687,0.9999999999999999,73
lupin,1.0,0.0,0.9594959960711197,0.9999999999999999,91
milk,1.0,0.0,0.9010990076755958,1.0,35
molluscs,1.0,0.0,0.9581729333351077,1.0,88
mustard,1.0,0.0,0.9557646903580262,1.0000000000000002,83
nuts,1.0,0.0,0.9552493763098998,1.0000000000000002,82
peanuts,1.0,0.0,0.9594959960711197,0.9999999999999999,91
sesame,1.0,0.0,0.95626827158534,0.9999999999999999,84
soya,1.0,0.0,0.9541818704644728,0.9999999999999999,80
sulphites,1.0,0.0,0.9541818704644728,0.9999999999999999,80
