allergen,tp,tn,fp,fn,precision,recall,f1,accuracy,false_negative_rate,false_positive_rate
celery,9,74,2,5,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.9222222222222223,0.35714285714285715,0.02631578947368421
gluten,40,26,9,8,0.8163265306122449,0.8333333333333334,0.8247422680412372,0.7951807228915663,0.16666666666666666,0.2571428571428571
crustaceans,1,90,0,0,1.0,1.0,1.0,1.0,0.0,0.0
eggs,20,48,2,4,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.918918918918919,0.16666666666666666,0.04
fish,13,73,5,0,0.7222222222222222,1.0,0.8387096774193548,0.945054945054945,0.0,0.0641025641025641
lupin,0,91,0,0,,,,1.0,,0.0
milk,43,30,6,2,0.8775510204081632,0.9555555555555556,0.9148936170212767,0.9012345679012346,0.044444444444444446,0.16666666666666666
molluscs,0,88,3,0,0.0,,,0.967032967032967,,0.03296703296703297
mustard,4,81,4,2,0.5,0.6666666666666666,0.5714285714285715,0.9340659340659341,0.3333333333333333,0.047058823529411764
nuts,2,82,6,0,0.25,1.0,0.4,0.9333333333333333,0.0,0.06818181818181818
peanuts,0,91,0,0,,,,1.0,,0.0
sesame,4,77,3,6,0.5714285714285714,0.4,0.47058823529411764,0.9,0.6,0.0375
soya,2,73,9,2,0.18181818181818182,0.5,0.26666666666666666,0.872093023255814,0.5,0.10975609756097561
sulphites,2,70,9,8,0.18181818181818182,0.2,0.1904761904761905,0.8089887640449438,0.8,0.11392405063291139
