source,query,allergen,confidence,ground_truth,ground_truth_source
bbc,chicken curry,milk,HIGH,0,manual_annotations
bbc,chicken curry,mustard,HIGH,0,manual_annotations
bbc,chicken curry,soya,MEDIUM,0,manual_annotations
bbcgoodfood,chicken curry,fish,HIGH,1,manual_annotations
bbcgoodfood,chicken curry,gluten,HIGH,1,manual_annotations
bbcgoodfood,chicken curry,soya,HIGH,1,manual_annotations
foodafactoflife,chicken curry,gluten,HIGH,0,manual_annotations
ocado,chicken curry,gluten,HIGH,1,manual_annotations
ocado,chicken curry,milk,HIGH,1,manual_annotations
ocado,chicken curry,gluten,HIGH,1,manual_annotations
ocado,chicken curry,mustard,HIGH,1,manual_annotations
ocado,chicken curry,soya,HIGH,0,manual_annotations
realfooddietitians,chicken curry,nuts,HIGH,0,manual_annotations
realfooddietitians,chicken curry,sesame,HIGH,1,manual_annotations
tomkerridge,chicken curry,celery,HIGH,1,manual_annotations
tomkerridge,chicken curry,gluten,MEDIUM,0,manual_annotations
tomkerridge,chicken curry,milk,HIGH,1,manual_annotations
tomkerridge,chicken curry,sulphites,HIGH,0,manual_annotations
tomkerridge,chicken curry,gluten,HIGH,1,manual_annotations
tomkerridge,chicken curry,molluscs,HIGH,0,manual_annotations
tomkerridge,chicken curry,sesame,HIGH,0,manual_annotations
tomkerridge,chicken curry,soya,HIGH,0,manual_annotations
tomkerridge,chicken curry,sulphites,MEDIUM,0,manual_annotations
bbc,vegetarian pasta,celery,HIGH,1,manual_annotations
bbc,vegetarian pasta,gluten,HIGH,1,manual_annotations
bbc,vegetarian pasta,gluten,HIGH,1,manual_annotations
bbc,vegetarian pasta,milk,HIGH,1,manual_annotations
bbcgoodfood,vegetarian pasta,milk,HIGH,1,manual_annotations
bbcgoodfood,vegetarian pasta,gluten,MEDIUM,1,manual_annotations
bbcgoodfood,vegetarian pasta,milk,HIGH,1,manual_annotations
bbcgoodfood,vegetarian pasta,sulphites,MEDIUM,0,manual_annotations
foodafactoflife,vegetarian pasta,gluten,HIGH,1,manual_annotations
foodafactoflife,vegetarian pasta,milk,HIGH,1,manual_annotations
ocado,vegetarian pasta,gluten,HIGH,1,manual_annotations
ocado,vegetarian pasta,gluten,HIGH,1,manual_annotations
realfooddietitians,vegetarian pasta,gluten,HIGH,1,manual_annotations
realfooddietitians,vegetarian pasta,milk,HIGH,1,manual_annotations
realfooddietitians,vegetarian pasta,gluten,HIGH,0,manual_annotations
realfooddietitians,vegetarian pasta,crustaceans,HIGH,1,manual_annotations
realfooddietitians,vegetarian pasta,milk,HIGH,1,manual_annotations
tomkerridge,vegetarian pasta,gluten,HIGH,1,manual_annotations
tomkerridge,vegetarian pasta,milk,HIGH,1,manual_annotations
tomkerridge,vegetarian pasta,milk,HIGH,1,manual_annotations
bbc,chocolate cake,gluten,MEDIUM,1,manual_annotations
bbc,chocolate cake,eggs,HIGH,1,manual_annotations
bbc,chocolate cake,milk,HIGH,1,manual_annotations
bbc,chocolate cake,gluten,MEDIUM,1,manual_annotations
bbc,chocolate cake,eggs,HIGH,1,manual_annotations
bbc,chocolate cake,milk,HIGH,1,manual_annotations
bbcgoodfood,chocolate cake,gluten,MEDIUM,1,manual_annotations
bbcgoodfood,chocolate cake,eggs,HIGH,1,manual_annotations
bbcgoodfood,chocolate cake,milk,HIGH,1,manual_annotations
bbcgoodfood,chocolate cake,gluten,MEDIUM,1,manual_annotations
bbcgoodfood,chocolate cake,eggs,HIGH,1,manual_annotations
bbcgoodfood,chocolate cake,milk,HIGH,1,manual_annotations
foodafactoflife,chocolate cake,gluten,MEDIUM,1,manual_annotations
foodafactoflife,chocolate cake,eggs,HIGH,1,manual_annotations
ocado,chocolate cake,gluten,MEDIUM,1,manual_annotations
ocado,chocolate cake,eggs,HIGH,1,manual_annotations
ocado,chocolate cake,milk,HIGH,1,manual_annotations
ocado,chocolate cake,nuts,HIGH,1,manual_annotations
ocado,chocolate cake,gluten,HIGH,1,manual_annotations
ocado,chocolate cake,eggs,HIGH,1,manual_annotations
ocado,chocolate cake,milk,HIGH,1,manual_annotations
realfooddietitians,chocolate cake,eggs,HIGH,1,manual_annotations
realfooddietitians,chocolate cake,fish,HIGH,1,manual_annotations
realfooddietitians,chocolate cake,nuts,HIGH,0,manual_annotations
realfooddietitians,chocolate cake,eggs,HIGH,1,manual_annotations
realfooddietitians,chocolate cake,sulphites,HIGH,0,manual_annotations
tomkerridge,chocolate cake,gluten,MEDIUM,1,manual_annotations
tomkerridge,chocolate cake,eggs,HIGH,1,manual_annotations
tomkerridge,chocolate cake,milk,HIGH,1,manual_annotations
tomkerridge,chocolate cake,eggs,HIGH,1,manual_annotations
bbc,beef stew,celery,HIGH,1,manual_annotations
bbc,beef stew,celery,HIGH,1,manual_annotations
bbc,beef stew,gluten,MEDIUM,1,manual_annotations
bbc,beef stew,fish,MEDIUM,0,manual_annotations
bbc,beef stew,milk,HIGH,1,manual_annotations
bbc,beef stew,sulphites,MEDIUM,1,manual_annotations
bbcgoodfood,beef stew,celery,HIGH,1,manual_annotations
bbcgoodfood,beef stew,fish,MEDIUM,0,manual_annotations
bbcgoodfood,beef stew,celery,HIGH,1,manual_annotations
bbcgoodfood,beef stew,fish,MEDIUM,0,manual_annotations
bbcgoodfood,beef stew,milk,HIGH,0,manual_annotations
foodafactoflife,beef stew,gluten,MEDIUM,1,manual_annotations
foodafactoflife,beef stew,eggs,HIGH,1,manual_annotations
foodafactoflife,beef stew,gluten,HIGH,1,manual_annotations
foodafactoflife,beef stew,milk,HIGH,1,manual_annotations
ocado,beef stew,sesame,HIGH,1,manual_annotations
ocado,beef stew,milk,HIGH,0,manual_annotations
realfooddietitians,beef stew,eggs,HIGH,0,manual_annotations
realfooddietitians,beef stew,mustard,HIGH,0,manual_annotations
realfooddietitians,beef stew,sulphites,HIGH,0,manual_annotations
tomkerridge,beef stew,milk,HIGH,1,manual_annotations
tomkerridge,beef stew,mustard,HIGH,0,manual_annotations
tomkerridge,beef stew,sulphites,MEDIUM,1,manual_annotations
tomkerridge,beef stew,celery,HIGH,0,manual_annotations
tomkerridge,beef stew,milk,HIGH,1,manual_annotations
bbc,mushroom soup,gluten,HIGH,1,manual_annotations
bbc,mushroom soup,milk,HIGH,1,manual_annotations
bbc,mushroom soup,molluscs,HIGH,0,manual_annotations
bbc,mushroom soup,milk,HIGH,1,manual_annotations
bbc,mushroom soup,sulphites,MEDIUM,0,manual_annotations
bbcgoodfood,mushroom soup,gluten,MEDIUM,0,manual_annotations
bbcgoodfood,mushroom soup,milk,HIGH,1,manual_annotations
bbcgoodfood,mushroom soup,nuts,HIGH,0,manual_annotations
bbcgoodfood,mushroom soup,nuts,HIGH,0,manual_annotations
foodafactoflife,mushroom soup,gluten,HIGH,1,manual_annotations
ocado,mushroom soup,fish,HIGH,1,manual_annotations
ocado,mushroom soup,celery,HIGH,0,manual_annotations
ocado,mushroom soup,gluten,MEDIUM,1,manual_annotations
ocado,mushroom soup,eggs,HIGH,1,manual_annotations
ocado,mushroom soup,milk,HIGH,1,manual_annotations
ocado,mushroom soup,nuts,HIGH,0,manual_annotations
realfooddietitians,mushroom soup,gluten,MEDIUM,0,manual_annotations
realfooddietitians,mushroom soup,celery,HIGH,1,manual_annotations
realfooddietitians,mushroom soup,milk,HIGH,0,manual_annotations
tomkerridge,mushroom soup,gluten,HIGH,1,manual_annotations
tomkerridge,mushroom soup,molluscs,HIGH,0,manual_annotations
tomkerridge,mushroom soup,sesame,HIGH,0,manual_annotations
tomkerridge,mushroom soup,soya,HIGH,0,manual_annotations
tomkerridge,mushroom soup,sulphites,MEDIUM,0,manual_annotations
tomkerridge,mushroom soup,gluten,HIGH,0,manual_annotations
tomkerridge,mushroom soup,eggs,HIGH,0,manual_annotations
tomkerridge,mushroom soup,soya,HIGH,0,manual_annotations
bbc,salmon,fish,HIGH,1,manual_annotations
bbc,salmon,gluten,HIGH,1,manual_annotations
bbc,salmon,eggs,HIGH,1,manual_annotations
bbc,salmon,fish,HIGH,1,manual_annotations
bbc,salmon,milk,HIGH,1,manual_annotations
bbc,salmon,sulphites,MEDIUM,0,manual_annotations
bbcgoodfood,salmon,fish,HIGH,1,manual_annotations
bbcgoodfood,salmon,milk,HIGH,1,manual_annotations
bbcgoodfood,salmon,gluten,HIGH,1,manual_annotations
bbcgoodfood,salmon,fish,HIGH,1,manual_annotations
bbcgoodfood,salmon,sesame,HIGH,1,manual_annotations
bbcgoodfood,salmon,soya,HIGH,1,manual_annotations
foodafactoflife,salmon,gluten,MEDIUM,1,manual_annotations
foodafactoflife,salmon,eggs,HIGH,1,manual_annotations
foodafactoflife,salmon,gluten,HIGH,1,manual_annotations
foodafactoflife,salmon,milk,HIGH,1,manual_annotations
ocado,salmon,fish,HIGH,1,manual_annotations
ocado,salmon,gluten,HIGH,0,manual_annotations
