recipe_url,_title,_source,celery,gluten,crustaceans,eggs,fish,lupin,milk,molluscs,mustard,nuts,peanuts,sesame,soya,sulphites
https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,"Black chicken curry, fried leeks and yellow rice",BBC Food,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/chicken_and_coconut_85358,Chicken and coconut curry,BBC Food,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/thai-green-chicken-curry,Thai green chicken curry,BBC Good Food,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/chinese-chicken-curry,Chinese chicken curry,BBC Good Food,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,uncertain,present,absent
https://www.foodafactoflife.org.uk/recipes/cook-club/chicken-tagine-with-apricots/,Chicken tagine with apricots,Food - a Fact of Life,absent,absent,absent,absent,absent,absent,absent,absent,absent,uncertain,absent,absent,absent,present
https://www.ocado.com/recipes/chicken-and-red-pepper-pittas-with-tomato-yoghurt-sauce/216829,Chicken and Red Pepper Pittas with Tomato Yoghurt Sauce,Ocado,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,present,absent,absent
https://www.ocado.com/recipes/baked-southern-style-chicken-with-sweet-potatoes-and-slaw/4RPIzlrKRw8EevMt96AOwR,Baked Southern- style Chicken with Sweet Potatoes and Slaw,Ocado,uncertain,present,absent,uncertain,absent,absent,uncertain,absent,present,absent,absent,absent,absent,absent
https://therealfooddietitians.com/instant-pot-shredded-chicken/,Instant Pot Shredded Chicken Recipe,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/one-pan-teriyaki-chicken-veggie-bake/,One-Pan Teriyaki Chicken Veggie Bake,The Real Food Dietitians,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,present,absent
https://tomkerridge.com/recipes/hay-baked-chicken-and-roasted-celeriac/,HAY-BAKED CHICKEN AND ROASTED CELERIAC,Tom Kerridge,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/chicken-noodle-soup/,CHICKEN NOODLE SOUP,Tom Kerridge,present,present,absent,uncertain,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Vegetarian bolognese,BBC Food,present,present,absent,uncertain,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,present
