Area,Device,Interface,IPv4 Address,Subnet Mask,CIDR,Gateway,VLAN,Description,Host Requirement
Area 1,R1,G0/0,203.0.113.6,255.255.255.252,/30,N/A,N/A,Link to R4,2
Area 1,R1,G0/2,203.0.113.9,255.255.255.252,/30,N/A,N/A,Link to R5,2
Area 1,R1,G1/1/1,203.0.113.21,255.255.255.252,/30,N/A,N/A,Link to ISP,2
Area 1,R2,G0/0,203.0.113.17,255.255.255.252,/30,N/A,N/A,Link to R3,2
Area 1,R2,G0/1,192.168.0.73,255.255.255.252,/30,N/A,1,VLAN 1 Gateway,2
Area 1,R3,G0/0,172.16.7.1,255.255.255.252,/30,N/A,5,VLAN 5 Gateway,2
Area 1,R3,G0/1,172.16.0.1,255.255.252.0,/22,N/A,4,VLAN 4 Gateway,1024
Area 1,R3,Serial0/0/0,203.0.113.1,255.255.255.252,/30,N/A,N/A,Link to R4,2
Area 1,R3,Serial0/0/1,203.0.113.18,255.255.255.252,/30,N/A,N/A,Link to R2,2
Area 1,R4,G0/0,203.0.113.5,255.255.255.252,/30,N/A,N/A,Link to R1,2
Area 1,R4,G0/1,203.0.113.2,255.255.255.252,/30,N/A,N/A,Link to R3,2
Area 1,R5,G0/0,203.0.113.10,255.255.255.252,/30,N/A,N/A,Link to R1,2
Area 1,R5,G0/1,203.0.113.13,255.255.255.252,/30,N/A,N/A,Link to R6,2
Area 1,R6,G0/0,203.0.113.14,255.255.255.252,/30,N/A,N/A,Link to R5,2
Area 1,R6,G0/1,172.16.4.1,255.255.254.0,/23,N/A,2,VLAN 2 Gateway,400
Area 1,R6,G0/2,172.16.6.1,255.255.255.0,/24,N/A,3,VLAN 3 Gateway,250
Area 1,VLAN 4,Host Range,172.16.0.2-172.16.3.254,255.255.252.0,/22,172.16.0.1,4,User Workstations,1024
Area 1,VLAN 5,Host Range,172.16.7.2-172.16.7.2,255.255.255.252,/30,172.16.7.1,5,Servers,2
Area 1,VLAN 2,Host Range,172.16.4.2-172.16.5.254,255.255.254.0,/23,172.16.4.1,2,Workstations,400
Area 1,VLAN 3,Host Range,172.16.6.2-172.16.6.254,255.255.255.0,/24,172.16.6.1,3,Workstations,250
Area 2,R7,G0/0,203.0.113.25,255.255.255.252,/30,N/A,N/A,Link to ISP,2
Area 2,R7,G0/1,203.0.113.33,255.255.255.252,/30,N/A,N/A,Link to R8,2
Area 2,R7,G0/2,192.168.0.1,255.255.255.224,/27,N/A,400,VLAN 400 Gateway,18
Area 2,R8,G0/0,203.0.113.34,255.255.255.252,/30,N/A,N/A,Link to R7,2
Area 2,R8,G0/1,203.0.113.37,255.255.255.252,/30,N/A,N/A,Link to R9,2
Area 2,R8,G0/2,192.168.0.33,255.255.255.240,/28,N/A,100,VLAN 100 Gateway,14
Area 2,R8,G0/3,192.168.0.49,255.255.255.240,/28,N/A,200,VLAN 200 Gateway,12
Area 2,R9,G0/0,203.0.113.41,255.255.255.252,/30,N/A,N/A,Link to R10,2
Area 2,R9,G0/1,203.0.113.38,255.255.255.252,/30,N/A,N/A,Link to R8,2
Area 2,R10,G0/0,203.0.113.42,255.255.255.252,/30,N/A,N/A,Link to R9,2
Area 2,R10,G0/1,192.168.0.65,255.255.255.248,/29,N/A,300,VLAN 300 Gateway,5
Area 2,VLAN 400,Host Range,192.168.0.2-192.168.0.30,255.255.255.224,/27,192.168.0.1,400,Workstations,18
Area 2,VLAN 100,Host Range,192.168.0.34-192.168.0.46,255.255.255.240,/28,192.168.0.33,100,Servers,14
Area 2,VLAN 200,Host Range,192.168.0.50-192.168.0.62,255.255.255.240,/28,192.168.0.49,200,Workstations,12
Area 2,VLAN 300,Host Range,192.168.0.66-192.168.0.70,255.255.255.248,/29,192.168.0.65,300,Servers,5
Area 2,VLAN 1,Host Range,192.168.0.74-192.168.0.74,255.255.255.252,/30,192.168.0.73,1,Management,2
Area 3,R11,G0/0,203.0.113.29,255.255.255.252,/30,N/A,N/A,Link to ISP,2
Area 3,R11,G0/1,203.0.113.45,255.255.255.252,/30,N/A,N/A,Link to R12,2
Area 3,R11,G0/2,10.130.0.1,255.254.0.0,/15,N/A,6,VLAN 6 Gateway,202000
Area 3,R11,G0/3,10.132.96.1,255.255.248.0,/21,N/A,7,VLAN 7 Gateway,2000
Area 3,R12,G0/0,203.0.113.46,255.255.255.252,/30,N/A,N/A,Link to R11,2
Area 3,R12,G0/1,203.0.113.49,255.255.255.252,/30,N/A,N/A,Link to R13,2
Area 3,R12,G0/2,10.128.0.1,255.254.0.0,/15,N/A,8,VLAN 8 Gateway,200000
Area 3,R12,G0/3,10.132.0.1,255.255.192.0,/18,N/A,9,VLAN 9 Gateway,10000
Area 3,R12,G0/4,10.132.64.1,255.255.224.0,/19,N/A,11,VLAN 11 Gateway,5000
Area 3,R13,G0/0,203.0.113.50,255.255.255.252,/30,N/A,N/A,Link to R12,2
Area 3,R13,G0/1,10.0.0.1,255.128.0.0,/9,N/A,10,VLAN 10 Gateway,5000000
Area 3,R13,G0/2,10.132.104.193,255.255.255.224,/27,N/A,500,VLAN 500 Gateway,20
Area 3,R13,G0/3,10.132.104.129,255.255.255.192,/26,N/A,600,VLAN 600 Gateway,40
Area 3,R13,G0/4,10.132.104.1,255.255.255.128,/25,N/A,700,VLAN 700 Gateway,80
Area 3,VLAN 10,Host Range,10.0.0.2-10.127.255.254,255.128.0.0,/9,10.0.0.1,10,Large User Network,5000000
Area 3,VLAN 8,Host Range,10.128.0.2-10.129.255.254,255.254.0.0,/15,10.128.0.1,8,User Network,200000
Area 3,VLAN 6,Host Range,10.130.0.2-10.131.255.254,255.254.0.0,/15,10.130.0.1,6,User Network,202000
Area 3,VLAN 9,Host Range,10.132.0.2-10.132.63.254,255.255.192.0,/18,10.132.0.1,9,User Network,10000
Area 3,VLAN 11,Host Range,10.132.64.2-10.132.95.254,255.255.224.0,/19,10.132.64.1,11,User Network,5000
Area 3,VLAN 7,Host Range,10.132.96.2-10.132.103.254,255.255.248.0,/21,10.132.96.1,7,User Network,2000
Area 3,VLAN 700,Host Range,10.132.104.2-10.132.104.126,255.255.255.128,/25,10.132.104.1,700,Servers,80
Area 3,VLAN 600,Host Range,10.132.104.130-10.132.104.190,255.255.255.192,/26,10.132.104.129,600,Servers,40
Area 3,VLAN 500,Host Range,10.132.104.194-10.132.104.222,255.255.255.224,/27,10.132.104.193,500,Servers,20
ISP,ISP,G1/1/1,203.0.113.22,255.255.255.252,/30,N/A,N/A,Link to R1 (Area 1),2
ISP,ISP,G1/1/2,203.0.113.30,255.255.255.252,/30,N/A,N/A,Link to R11 (Area 3),2
ISP,ISP,G1/1/3,203.0.113.26,255.255.255.252,/30,N/A,N/A,Link to R7 (Area 2),2

