Area,Device,Interface,IPv6 Address,Prefix Length,Gateway,VLAN,Description,Host Requirement
Area 1,R1,G0/0,2001:db8:ff00::2,/127,N/A,N/A,Link to R4,2
Area 1,R1,G0/2,2001:db8:ff00::5,/127,N/A,N/A,Link to R5,2
Area 1,R1,G1/1/1,2001:db8:ff00::15,/127,N/A,N/A,Link to ISP,2
Area 1,R2,G0/0,2001:db8:ff00::11,/127,N/A,N/A,Link to R3,2
Area 1,R2,G0/1,2001:db8:2000:1::1,/64,N/A,1,VLAN 1 Gateway,2
Area 1,R3,G0/0,2001:db8:1000:5::1,/64,N/A,5,VLAN 5 Gateway,2
Area 1,R3,G0/1,2001:db8:1000:4::1,/64,N/A,4,VLAN 4 Gateway,1024
Area 1,R3,Serial0/0/0,2001:db8:ff00::1,/127,N/A,N/A,Link to R4,2
Area 1,R3,Serial0/0/1,2001:db8:ff00::10,/127,N/A,N/A,Link to R2,2
Area 1,R4,G0/0,2001:db8:ff00::3,/127,N/A,N/A,Link to R1,2
Area 1,R4,G0/1,2001:db8:ff00::0,/127,N/A,N/A,Link to R3,2
Area 1,R5,G0/0,2001:db8:ff00::4,/127,N/A,N/A,Link to R1,2
Area 1,R5,G0/1,2001:db8:ff00::9,/127,N/A,N/A,Link to R6,2
Area 1,R6,G0/0,2001:db8:ff00::8,/127,N/A,N/A,Link to R5,2
Area 1,R6,G0/1,2001:db8:1000:2::1,/64,N/A,2,VLAN 2 Gateway,400
Area 1,R6,G0/2,2001:db8:1000:3::1,/64,N/A,3,VLAN 3 Gateway,250
Area 1,VLAN 4,Host Range,2001:db8:1000:4::2 onwards,/64,2001:db8:1000:4::1,4,User Workstations,1024
Area 1,VLAN 5,Host Range,2001:db8:1000:5::2 onwards,/64,2001:db8:1000:5::1,5,Servers,2
Area 1,VLAN 2,Host Range,2001:db8:1000:2::2 onwards,/64,2001:db8:1000:2::1,2,Workstations,400
Area 1,VLAN 3,Host Range,2001:db8:1000:3::2 onwards,/64,2001:db8:1000:3::1,3,Workstations,250
Area 2,R7,G0/0,2001:db8:ff00::17,/127,N/A,N/A,Link to ISP,2
