feature_set,architecture,learning_rate,cv_f1_mean,cv_f1_std,cv_f1_scores,n_features
all_features,"(10,)",0.0001,0.31834907460320316,0.07825710841302987,"[0.19723178763773808, 0.25915487656138536, 0.39690717290517985, 0.34578142812369245, 0.39267010778802003]",23
all_features,"(10,)",0.001,0.570653282680523,0.01957376005980908,"[0.5636363312375727, 0.5518986841074909, 0.5721153363659235, 0.6074765779483928, 0.5581394837432351]",23
all_features,"(10,)",0.01,0.5964330168480674,0.019685166539241277,"[0.5818965038286773, 0.5746605932443705, 0.6068965016275762, 0.6294642243611681, 0.5892472611785452]",23
all_features,"(50,)",0.0001,0.29739920745144166,0.06313719496641598,"[0.37514379464352104, 0.33655169077174624, 0.3162274185089758, 0.19219214544269914, 0.2668809878902662]",23
all_features,"(50,)",0.001,0.5991660985228088,0.026585764863387505,"[0.5879732411286407, 0.5787036475121622, 0.6213151617950464, 0.6389496161535942, 0.5688888260246007]",23
all_features,"(50,)",0.01,0.5995352898043411,0.023709155358410224,"[0.5760368153088397, 0.5816554325927848, 0.6383927992560646, 0.6153845550390401, 0.5862068468249767]",23
all_features,"(100,)",0.0001,0.3232922842114128,0.06635920086999415,"[0.31367624327900095, 0.2930402544312472, 0.31683163278259374, 0.24671911752305925, 0.4461941730411628]",23
all_features,"(100,)",0.001,0.6018687843848165,0.025897078816405607,"[0.5844155420378152, 0.5655172041562191, 0.6288209095092877, 0.6331877247847334, 0.5974025414360274]",23
all_features,"(100,)",0.01,0.5972551523566094,0.027036160144379522,"[0.5694760233181605, 0.5694443887674293, 0.6281754582360148, 0.6301968817520535, 0.5889830097093891]",23
all_features,"(30, 20)",0.0001,0.2927100496632488,0.06600834040128142,"[0.1818181291384492, 0.3216265843006071, 0.2557882754497319, 0.3416506268484161, 0.36266663257903986]",23
all_features,"(30, 20)",0.001,0.5803366463888853,0.036380276965403635,"[0.5635103490073861, 0.5411764163040597, 0.6308724161904371, 0.6164705229990437, 0.5496535274434998]",23
all_features,"(30, 20)",0.01,0.5978622184777609,0.021448656485150198,"[0.5964911673098781, 0.5707761920925336, 0.6150341102768759, 0.628062296382058, 0.5789473263274586]",23
all_features,"(50, 30)",0.0001,0.3264128140768959,0.1159286891857744,"[0.23818520775829902, 0.4487804360006563, 0.48410753012186414, 0.20629365216629575, 0.25469724433736435]",23
all_features,"(50, 30)",0.001,0.5790496879486455,0.025991391742774716,"[0.5746605932443705, 0.5570775674138071, 0.607709724654877, 0.6099290455057962, 0.5458715089243767]",23
all_features,"(50, 30)",0.01,0.5985221609205468,0.025600739712374736,"[0.6021504805806841, 0.5515587122397437, 0.6287015443252207, 0.6106194154652316, 0.5995806519918538]",23
all_features,"(100, 50)",0.0001,0.31915066862012836,0.1534505335002523,"[0.45196205904902037, 0.5026548192839458, 0.2705569841716942, 0.304083363839519, 0.0664961167564623]",23
all_features,"(100, 50)",0.001,0.5958254314138123,0.02437169648934186,"[0.5935483369119535, 0.5501164962906643, 0.6153845550390401, 0.6167023005808552, 0.6033754682465484]",23
all_features,"(100, 50)",0.01,0.6102107390074923,0.014880636996602376,"[0.6176469993852209, 0.5874438841378121, 0.6230247712412104, 0.6249999693489566, 0.5979380709242618]",23
all_features,"(100, 80, 50)",0.0001,0.34601096287965893,0.1373040784344315,"[0.25225221198851516, 0.2831632187350683, 0.2299269652192, 0.6065857559238442, 0.3581266625316669]",23
all_features,"(100, 80, 50)",0.001,0.6001026296855372,0.02500283074650832,"[0.6160337002579165, 0.5649202321957943, 0.6104783191545093, 0.631808233633052, 0.5772726631864136]",23
all_features,"(100, 80, 50)",0.01,0.6092194631253285,0.028961689483387495,"[0.5818965038286773, 0.5682326243734747, 0.6332573354475864, 0.6415928871856317, 0.6211179647912726]",23
all_features,"(150, 100, 50)",0.0001,0.2794116909977649,0.20744690534042043,"[0.35433065572186245, 0.18282544599640166, 0.15748027383226085, 0.6470587836958231, 0.05536329574247631]",23
all_features,"(150, 100, 50)",0.001,0.601109908002363,0.02196222727182398,"[0.5927504644549193, 0.5765765231709129, 0.6415928871856317, 0.6033253678432207, 0.5913042973571302]",23
all_features,"(150, 100, 50)",0.01,0.6116201507661321,0.02707642500003734,"[0.6170212445714914, 0.5754059979752496, 0.650759190011161, 0.6269315272575663, 0.5879827940151922]",23
only_numerical,"(10,)",0.0001,0.30571852045311615,0.09691568662171116,"[0.43514640121254694, 0.2440944372809441, 0.383259873078619, 0.16290722597603857, 0.30318466471743205]",6
only_numerical,"(10,)",0.001,0.2312421381760567,0.031898901744473414,"[0.27893171630605923, 0.2006688739112335, 0.23642169513075892, 0.248407614556627, 0.19178079097560505]",6
only_numerical,"(10,)",0.01,0.25641414009626085,0.036267033007386026,"[0.2865496643410239, 0.20666664367300475, 0.22077918241588815, 0.26993860939465014, 0.29813660065673747]",6
only_numerical,"(50,)",0.0001,0.2849722822568149,0.06013893423968495,"[0.3116591500085158, 0.1936305284732477, 0.2942008064498501, 0.37354080686372115, 0.25183011948874]",6
only_numerical,"(50,)",0.001,0.34938127611816483,0.02787957354183064,"[0.3949366617054654, 0.32640945611153055, 0.32448373503747835, 0.3687150435716188, 0.3323614841647308]",6
only_numerical,"(50,)",0.01,0.3342148256724339,0.014908002041175327,"[0.3489582957060373, 0.3113772184773136, 0.3235293751060566, 0.3499999733908107, 0.33720926568195114]",6
only_numerical,"(100,)",0.0001,0.3240815134137549,0.09823237564966138,"[0.3491378919763063, 0.25516399455011424, 0.3112947187358754, 0.2090483129117751, 0.49576264889470356]",6
only_numerical,"(100,)",0.001,0.36736964775671094,0.011041009239871658,"[0.38659790628467217, 0.3569404788269075, 0.37183094797210126, 0.35733329915590756, 0.3641456065439663]",6
only_numerical,"(100,)",0.01,0.35871656768293064,0.014655992160437442,"[0.38118806933270993, 0.3573486678492354, 0.3646723175553069, 0.33608810672087397, 0.354285676956527]",6
