Feature,Importance_Mean,Importance_Std
education_1,-0.004810268068433476,0.004489477304069048
education_0,-0.004765265469974023,0.0016649086764209567
loan_yes,-0.0023095063432798215,0.0024074663356733615
loan_no,-0.0009492645161060853,0.0021501027665411345
contact_1,-0.0007397282896150159,0.0022861206079007284
default_no,-0.00016157825351668099,0.0009703259145441576
contact_0,0.00023458452048461532,0.0021205142794302307
default_yes,0.0002891961054700243,0.0007040465774888317
balance,0.0008364465193185566,0.002020651644120529
previous,0.0025090698674411493,0.005463849772731467
marital_1,0.0036716027389979366,0.0030012211805724135
marital_2,0.004065735938824977,0.002681190853923215
marital_0,0.006241138348107444,0.002578645478774297
education_2,0.0073128577315429545,0.005863825196964961
campaign,0.010458865903350434,0.007214028546480242
poutcome_2,0.014387143050932472,0.004901471781056259
age,0.015337191235311787,0.002484953810768518
pdays,0.018481177230391443,0.001790638323783533
housing_no,0.02243899650881729,0.007085306771005852
housing_yes,0.02333484651169173,0.004068813376388244
poutcome_0,0.0672311270357546,0.009685552801454562
duration,0.13618791701520253,0.013507374387610268
poutcome_1,0.14767067002893353,0.006738028091237536
